Class,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Adult Gym,,,8.30am-10.00am,,,,
Advanced,,,4.30pm-6.30pm,,6.30-8.30pm,12.00-2.00pm,
Beginners,5.30-6.30pm,4.00-5.00pm,4.00pm-5.00pm,"4.00pm-5.00pm, 5.00pm-6.00pm",4.00-5.00pm,"8.00-9.00am, 9.00-10.00am, 10.00-11.00am",
Beginners & pre dev,,,,,,11.00-12.00pm,
Boys Rec,,,,4.00pm-7.30pm,,,
Bronze,,5.00-7.00pm,,,,,
CD 1,,4.00 - 6.00pm,,,,2.00-4.00pm,
CD 2,,,,,,12.00-2.00pm,
Club Girls,6.30-8.30pm,,6.30pm-8.30pm,,,2.00-4.00pm,
Early Advanced,,,,,,10.00-12.00pm,
Elite,,,,6.00pm-8.00pm,,,
Elite Girls,6.30-8.30pm,,,,,4.00-7.00pm,
Gold,,6.00-8.00pm,,,,2.00-4.00pm,
Grades,6.30-8.30pm,,,6.00pm-8.30pm,,,3.00-7.00pm
Gym Tots,,"9.00-10.15am, 10.30 - 11.15am",,,"9.00am-10.15am, 10.30 - 11.15am",,
Intermediate,4.00-5.30pm,,5.00pm-6.30pm,4.00pm-5.30pm,5.00-6.30pm,"10.00am-11.30am, 11.30-1.00pm",
Lilleshall,6.00 -9.00pm,,,,,,
Mini Elite,,5.30-8.00 pm,,,,2.00 - 4.30pm,
Mini Grades,,5.00-8.30 pm,,,,,3.00-7.00pm
ND 1 + 2,,,4.00pm-8.30pm,,,2.00 - 8.00pm,
ND 2,,,,4.00pm - 9.00pm,,,
ND 3,,4.00 - 8.30pm,4.00pm - 6.30pm,,,,
ND3,,,,,,,11.30 - 4.30pm
NDS,"1.00-4.00pm, 4.00-7.00pm",5.00-8.00pm,"1.00pm-4.00pm, 4.00pm-8.30pm, 5.00pm-7.30pm","1.00pm-4.00pm, 4.00pm-6.30pm",4.00-8.30pm,,"12.45 - 6pm, 9.00-3.00pm"
Pre development,,4.00-5.00pm,,,,,
Pre-School,4.00-5.00pm,12.30-1.30pm,,,"1.30-2.30pm, 12.30-1.30pm","8.00-9.00am, 9.00-10.00am",
Pre-School with Parents,,11.30 - 12.15pm,,,,,
Pre-school with parents,,,,,11.30 - 12.15pm,,
RD 2,,,6.30pm - 8.30pm,,,,3.00-7.00pm
RD 3,,6.00 - 8.00pm,,,,,4.00 - 7.00pm
Silver,,5.00-7.00pm,,,,12.00-2.00pm,
TG Dev,,,,,,4.00 - 5.00pm,
Team Gym,,,5.30pm-8.30pm,,,5.00-8.00pm,
Young Girls,,,,,,2.00-4.00pm,
Young girls,,6.00 - 8.00pm,,,,,
